resource, consumer1, toxin, environment
21, 86, 15, -1
47, 49, 153, 1
24, 60, 128, 1
52, 30, 155, 1
34, 58, 161, 1
31, 42, 159, 1
16, 103, 21, -1
24, 47, 32, -1
20, 53, 21, -1
22, 64, 118, 1
37, 34, 168, 1
12, 74, 27, -1
8, 90, 20, -1
41, 44, 170, 1
30, 55, 163, 1
25, 28, 128, 1
14, 83, 21, -1
22, 42, 143, 1
28, 50, 133, 1
22, 37, 158, 1
35, 45, 135, 1
8, 90, 16, -1
24, 42, 139, 1
44, 23, 173, 1
12, 81, 18, -1
16, 83, 18, -1
41, 41, 152, 1
29, 96, 131, 1
15, 71, 131, 1
49, 48, 162, 1
11, 99, 19, -1
31, 40, 165, 1
17, 84, 16, -1
50, 33, 191, 1
13, 82, 34, -1
14, 82, 24, -1
16, 92, 23, -1
19, 66, 25, -1
17, 87, 19, -1
31, 51, 151, 1
13, 102, 19, -1
14, 55, 145, 1
15, 95, 21, -1
15, 66, 24, -1
21, 91, 19, -1
36, 33, 145, 1
17, 67, 20, -1
30, 63, 117, 1
17, 93, 20, -1
34, 50, 144, 1
29, 37, 146, 1
19, 66, 22, -1
11, 99, 27, -1
22, 20, 169, 1
8, 95, 17, -1
22, 84, 23, -1
13, 57, 18, -1
12, 80, 28, -1
21, 50, 107, 1
13, 74, 30, -1
26, 50, 151, 1
36, 25, 166, 1
15, 104, 14, -1
12, 84, 14, -1
35, 40, 144, 1
25, 39, 160, 1
31, 57, 176, 1
20, 65, 15, -1
21, 59, 128, 1
28, 69, 25, -1
11, 92, 17, -1
12, 86, 20, -1
28, 63, 30, -1
33, 33, 158, 1
16, 80, 30, -1
19, 91, 16, -1
16, 76, 20, -1
35, 36, 135, 1
27, 37, 151, 1
23, 30, 141, 1
9, 82, 22, -1
26, 54, 151, 1
25, 46, 143, 1
26, 44, 156, 1
29, 46, 158, 1
36, 61, 142, 1
13, 81, 13, -1
11, 85, 16, -1
40, 31, 162, 1
35, 37, 168, 1
18, 47, 133, 1
19, 90, 18, -1
33, 41, 143, 1
13, 69, 130, 1
24, 75, 24, -1
25, 34, 151, 1
23, 59, 30, -1
31, 38, 127, 1
27, 45, 137, 1
23, 80, 27, -1
36, 59, 181, 1
32, 52, 132, 1
8, 80, 18, -1
22, 87, 17, -1
24, 67, 27, -1
16, 82, 23, -1
15, 92, 26, -1
13, 84, 24, -1
27, 61, 41, -1
24, 65, 25, -1
22, 60, 32, -1
44, 25, 141, 1
20, 54, 134, 1
35, 64, 163, 1
40, 55, 177, 1
12, 78, 26, -1
27, 61, 149, 1
8, 105, 15, -1
11, 87, 17, -1
31, 40, 151, 1
44, 37, 149, 1
22, 59, 132, 1
20, 54, 173, 1
25, 39, 149, 1
16, 91, 17, -1
17, 46, 137, 1
40, 33, 150, 1
29, 77, 23, -1
33, 39, 149, 1
25, 64, 27, -1
31, 44, 155, 1
22, 76, 18, -1
10, 95, 31, -1
19, 101, 21, -1
42, 42, 153, 1
18, 69, 22, -1
16, 66, 17, -1
11, 90, 23, -1
26, 50, 117, 1
12, 86, 18, -1
35, 49, 149, 1
36, 28, 129, 1
22, 90, 16, -1
24, 33, 151, 1
26, 42, 186, 1
18, 64, 26, -1
23, 83, 16, -1
32, 35, 138, 1
21, 43, 132, 1
38, 34, 160, 1
42, 20, 152, 1
43, 27, 173, 1
19, 59, 114, 1
15, 82, 21, -1
26, 44, 134, 1
10, 103, 23, -1
9, 89, 17, -1
39, 53, 163, 1
19, 70, 28, -1
18, 78, 21, -1
33, 38, 157, 1
18, 81, 17, -1
33, 42, 168, 1
32, 49, 129, 1
16, 43, 142, 1
25, 44, 154, 1
20, 61, 143, 1
14, 102, 17, -1
18, 69, 25, -1
15, 81, 21, -1
27, 55, 137, 1
41, 39, 159, 1
36, 43, 152, 1
23, 44, 140, 1
