resource, consumer1, toxin, environment
37, 86, 22, 1
53, 0, 121, -1
16, 93, 28, 1
24, 96, 22, 1
58, 0, 129, -1
39, 0, 134, -1
59, 0, 142, -1
32, 67, 25, 1
42, 0, 136, -1
27, 103, 18, 1
36, 0, 117, -1
25, 87, 23, 1
41, 71, 39, 1
35, 0, 138, -1
215, 0, 124, 1
52, 0, 135, -1
50, 0, 130, -1
21, 109, 25, 1
52, 0, 107, -1
26, 98, 23, 1
217, 0, 129, 1
27, 80, 33, 1
63, 44, 53, 1
56, 0, 105, -1
58, 0, 115, -1
44, 73, 43, 1
52, 0, 128, -1
39, 53, 47, 1
189, 0, 140, 1
26, 54, 34, 1
226, 0, 133, 1
28, 79, 37, 1
47, 0, 124, -1
14, 114, 30, 1
23, 99, 26, 1
42, 0, 114, -1
26, 82, 38, 1
219, 0, 112, 1
36, 78, 39, 1
29, 76, 32, 1
51, 0, 117, -1
52, 0, 135, -1
52, 0, 123, -1
50, 0, 124, -1
53, 0, 123, -1
54, 0, 130, -1
35, 62, 27, 1
23, 119, 21, 1
41, 0, 134, -1
36, 54, 33, 1
37, 0, 113, -1
54, 0, 119, -1
27, 78, 39, 1
43, 0, 110, -1
40, 0, 132, -1
53, 0, 112, -1
52, 0, 145, -1
16, 95, 21, 1
22, 99, 30, 1
220, 0, 124, 1
25, 68, 51, 1
39, 0, 108, -1
42, 59, 43, 1
15, 107, 18, 1
55, 0, 118, -1
27, 72, 38, 1
50, 0, 111, -1
24, 75, 37, 1
53, 0, 124, -1
41, 0, 119, -1
29, 91, 36, 1
53, 0, 122, -1
46, 0, 119, -1
47, 0, 116, -1
43, 0, 120, -1
37, 77, 15, 1
36, 64, 30, 1
51, 0, 119, -1
21, 104, 28, 1
37, 0, 115, -1
58, 0, 113, -1
30, 0, 97, -1
44, 0, 127, -1
39, 0, 142, -1
22, 106, 24, 1
181, 0, 117, 1
23, 87, 23, 1
23, 66, 38, 1
35, 0, 123, -1
188, 0, 123, 1
30, 100, 27, 1
41, 50, 37, 1
45, 0, 132, -1
45, 0, 116, -1
20, 115, 22, 1
47, 0, 123, -1
46, 0, 123, -1
48, 0, 124, -1
39, 0, 128, -1
24, 80, 27, 1
54, 0, 127, -1
33, 90, 33, 1
48, 0, 136, -1
28, 109, 22, 1
29, 66, 40, 1
45, 0, 119, -1
47, 0, 113, -1
42, 48, 57, 1
18, 71, 32, 1
15, 104, 27, 1
32, 58, 31, 1
52, 48, 41, 1
41, 0, 134, -1
32, 69, 38, 1
29, 94, 25, 1
52, 0, 145, -1
31, 65, 29, 1
23, 80, 25, 1
50, 0, 121, -1
51, 0, 143, -1
34, 0, 123, -1
32, 77, 30, 1
41, 0, 115, -1
