trial, S1, S2, R, T, xi
595,0,0,56,139,-1 
596,0,0,48,119,-1 
597,0,0,208,117,1 
598,0,0,56,147,-1 
599,0,70,32,21,1 
600,93,0,31,14,1 
601,0,0,58,112,-1 
602,0,0,188,129,1 
603,0,0,54,127,-1 
604,0,52,28,19,1 
605,0,0,50,131,-1 
606,0,67,35,29,1 
607,0,9,111,88,1 
608,0,0,204,125,1 
609,0,43,46,41,1 
610,0,20,62,41,1 
611,58,0,39,28,1 
612,0,0,50,112,-1 
613,0,0,50,122,-1 
614,0,0,47,116,-1 
615,51,0,29,35,1 
616,0,0,54,118,-1 
617,0,0,50,129,-1 
618,0,0,43,98,-1 
619,0,0,53,142,-1 
620,0,0,52,121,-1 
621,0,58,26,20,1 
622,0,0,55,116,-1 
623,0,69,30,15,1 
624,0,55,26,30,1 
625,0,0,57,107,-1 
626,0,0,55,128,-1 
627,60,0,26,44,1 
628,0,0,38,117,-1 
629,0,0,200,130,1 
630,0,0,210,107,1 
631,0,0,50,123,-1 
632,3,77,22,23,1 
633,0,0,40,95,-1 
634,0,68,34,18,1 
635,80,0,38,16,1 
636,0,0,40,131,-1 
637,0,0,53,113,-1 
638,0,0,45,121,-1 
639,0,0,41,102,-1 
640,0,0,44,112,-1 
641,0,0,37,124,-1 
642,0,89,29,21,1 
643,0,0,48,125,-1 
644,0,0,49,122,-1 
645,0,0,33,115,-1 
646,0,0,42,118,-1 
647,0,0,38,136,-1 
648,0,0,54,131,-1 
649,57,0,39,19,1 
650,0,107,23,15,1 
651,0,0,40,118,-1 
652,0,0,45,127,-1 
653,0,0,56,105,-1 
654,0,0,51,126,-1 
655,90,0,25,20,1 
656,0,0,192,111,1 
657,87,1,25,19,1 
658,3,61,50,32,1 
659,0,0,46,126,-1 
660,0,0,40,121,-1 
661,0,0,38,122,-1 
662,0,0,188,145,1 
663,0,0,56,127,-1 
664,0,80,21,22,1 
665,28,0,69,52,1 
666,0,0,39,125,-1 
667,0,0,52,133,-1 
668,101,0,19,23,1 
669,0,0,58,120,-1 
670,0,0,40,114,-1 
671,2,93,23,9,1 
672,33,0,34,30,1 
673,0,69,23,31,1 
674,0,0,47,141,-1 
675,0,0,52,125,-1 
676,0,0,56,122,-1 
677,0,0,57,132,-1 
678,0,0,55,105,-1 
679,0,0,218,128,1 
680,0,0,167,128,1 
681,0,0,45,131,-1 
682,107,0,26,17,1 
683,0,0,203,131,1 
684,9,0,99,86,1 
685,64,0,42,27,1 
686,0,0,53,121,-1 
687,42,0,28,29,1 
688,0,47,46,27,1 
689,0,55,32,24,1 
690,0,88,23,12,1 
691,0,0,65,138,-1 
692,0,0,182,123,1 
693,8,44,38,25,1 
694,0,67,27,23,1 
695,0,0,59,140,-1 
696,0,0,57,133,-1 
697,0,0,45,132,-1 
698,0,0,191,112,1 
699,0,0,50,125,-1 
700,0,0,36,126,-1 
701,0,0,43,105,-1 
