trial, S1, S2, R, T, xi
938,0,49,14,83,-1 
939,2,64,20,60,-1 
940,60,0,29,69,1 
941,14,43,26,89,-1 
942,0,40,29,82,1 
943,0,55,21,96,-1 
944,44,0,22,92,1 
945,48,0,16,82,1 
946,7,34,31,78,1 
947,15,18,34,81,1 
948,0,57,21,75,1 
949,52,0,26,83,-1 
950,0,44,24,83,1 
951,0,49,26,80,-1 
952,0,55,14,91,1 
953,32,0,30,90,1 
954,52,0,18,85,1 
955,0,65,27,79,-1 
956,73,0,26,71,1 
957,2,45,34,76,-1 
958,40,14,14,65,-1 
959,0,50,27,72,-1 
960,40,16,38,68,1 
961,56,0,35,106,-1 
962,13,69,24,70,1 
963,44,0,27,73,-1 
964,0,62,25,76,1 
965,0,32,33,86,1 
966,0,44,20,92,1 
967,61,0,14,73,1 
968,0,51,28,79,1 
969,0,41,22,91,1 
970,0,56,32,67,1 
971,0,56,23,72,1 
972,38,30,20,61,-1 
973,0,57,24,85,-1 
974,32,34,19,54,1 
975,0,47,23,80,-1 
976,60,0,18,67,1 
977,49,0,39,98,1 
978,53,0,22,76,-1 
979,0,38,25,85,-1 
980,0,37,29,77,1 
981,25,22,13,78,-1 
982,16,17,38,94,-1 
983,48,0,33,81,1 
984,0,37,27,82,-1 
985,24,16,25,62,-1 
986,0,48,15,81,-1 
987,15,35,25,70,1 
988,64,19,17,68,1 
989,2,31,22,99,1 
990,56,0,24,81,-1 
991,79,6,18,70,-1 
992,0,57,25,101,-1 
993,0,66,18,69,1 
994,19,36,28,81,1 
995,22,41,22,78,1 
996,47,0,28,79,1 
997,0,51,32,64,1 
998,65,0,14,53,-1 
999,0,46,31,71,-1 
1000,0,71,22,68,-1 
1001,0,75,27,90,1 
1002,1,23,41,95,-1 
1003,58,0,26,72,-1 
1004,38,0,30,97,1 
1005,16,23,34,73,1 
1006,48,0,19,108,1 
1007,0,55,22,81,-1 
1008,60,2,14,72,-1 
1009,31,18,16,95,1 
1010,0,48,26,74,-1 
1011,0,61,20,79,-1 
1012,50,0,26,97,1 
1013,47,25,21,65,1 
1014,47,0,21,67,1 
1015,0,52,20,87,-1 
1016,79,0,24,68,1 
1017,44,20,12,68,-1 
1018,48,0,29,85,-1 
1019,1,53,39,64,-1 
1020,0,65,23,60,1 
1021,0,46,36,78,1 
1022,39,0,31,84,1 
1023,49,0,20,75,-1 
1024,54,0,15,70,1 
1025,50,6,28,71,-1 
1026,50,0,31,89,1 
1027,0,48,26,81,1 
1028,0,46,34,77,1 
1029,60,0,24,79,-1 
1030,25,39,16,67,-1 
